2017-18,Thunder,Hawks,44,44,82,85,13,15,25,32,19,14,31,17,24,28,11,12,19,17,120,117
2017-18,Hawks,Pacers,35,40,81,82,8,7,29,21,17,18,20,19,27,19,5,5,14,10,95,105
2017-18,Hawks,Heat,38,36,83,79,8,7,22,25,26,25,31,30,25,19,8,9,13,19,110,104
2017-18,Grizzlies,Hawks,36,34,78,77,12,12,25,31,12,14,17,16,21,27,12,12,22,17,96,94
2017-18,Hawks,Pistons,32,41,70,90,11,13,31,30,16,10,26,12,28,26,6,10,17,15,91,105
2017-18,Cavaliers,Hawks,48,43,86,92,20,16,38,36,7,12,10,13,35,26,5,8,13,10,123,114
2017-18,Knicks,Hawks,39,37,80,77,5,9,17,31,28,24,34,30,16,22,9,5,12,16,111,107
2017-18,Hawks,Magic,41,45,80,92,17,13,33,34,18,7,25,8,33,39,7,7,12,12,117,110
2017-18,Magic,Hawks,46,40,98,93,6,11,28,27,12,15,18,20,17,25,9,7,17,19,110,106
2017-18,Hawks,Nets,30,41,82,85,9,15,30,36,21,13,27,15,18,29,9,7,18,24,90,110
2017-18,Nets,Hawks,34,47,82,99,17,10,42,27,17,10,21,14,26,18,1,12,19,10,102,114
2017-18,Hawks,Cavaliers,41,41,79,79,12,18,31,39,20,21,24,27,24,30,9,9,18,20,114,121
2017-18,Hawks,Raptors,26,46,75,84,6,13,27,32,20,7,23,9,18,31,9,10,19,16,78,112
2017-18,Hawks,Knicks,47,40,99,78,13,12,31,30,9,12,12,14,30,30,7,1,10,20,116,104
2017-18,Hawks,Clippers,40,44,83,76,10,15,29,30,13,13,15,19,26,30,10,7,15,17,103,116
2017-18,Spurs,Hawks,40,37,89,85,10,8,31,30,6,3,6,8,29,21,7,7,18,15,96,85
2017-18,Hawks,Celtics,37,39,78,82,9,16,24,34,16,16,20,20,24,21,7,9,14,15,99,110
2017-18,Hawks,Kings,50,31,79,88,16,6,32,28,10,12,16,20,40,18,9,12,19,12,126,80
2017-18,Pelicans,Hawks,41,40,75,87,13,17,33,36,11,8,17,9,31,25,10,14,19,16,106,105
2017-18,Wizards,Hawks,42,34,78,83,7,14,24,33,22,12,28,17,22,19,14,11,23,24,113,94
2017-18,Pistons,Hawks,39,44,89,89,12,8,30,24,21,8,27,11,23,28,7,11,17,16,111,104
2017-18,Hawks,Celtics,39,39,81,81,13,14,26,36,16,18,20,22,24,28,8,3,14,14,107,110
2017-18,Cavaliers,Hawks,42,41,96,86,10,11,36,25,21,24,23,34,27,24,6,4,13,17,115,117
2017-18,Hawks,Rockets,39,42,81,89,11,16,33,47,15,19,18,23,16,28,8,14,18,13,104,119
2017-18,76ers,Hawks,46,41,99,94,13,8,35,23,14,19,25,27,36,22,10,11,16,18,119,109
2017-18,Hawks,Bucks,36,44,77,81,13,13,29,26,21,16,26,21,27,30,9,9,16,14,106,117
2017-18,Hawks,Nuggets,37,42,89,91,14,4,33,20,12,17,12,23,23,25,7,8,12,12,100,105
2017-18,Bulls,Hawks,31,32,86,81,7,11,32,28,22,11,29,13,20,22,5,10,16,10,91,86
